name,episodes,av_rating,members,rating,user_id
Beck,26,8.4,148328,10,81
Mobile Suit Gundam Seed Destiny,50,7.36,65896,8,11
Last Exile,26,7.94,104193,10,39
D.C.: Da Capo,26,6.93,49909,-1,4
Chrno Crusade,24,7.8,140865,5,86
Chrno Crusade,24,7.8,140865,7,59
Cowboy Bebop,26,8.82,486824,9,12
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,81
Full Metal Panic!,24,7.81,256325,8,65
Chrno Crusade,24,7.8,140865,7,21
DearS,12,6.8,91037,10,37
Neon Genesis Evangelion,26,8.32,461946,9,73
Sunabouzu,24,7.55,65516,7,1
Yakitate!! Japan,69,8.05,50876,8,44
Azumanga Daioh,26,8.06,170901,-1,91
Ai Yori Aoshi,24,7.24,66597,6,72
Rozen Maiden,12,7.57,128688,-1,24
Beck,26,8.4,148328,10,20
D.N.Angel,26,7.35,126914,8,44
Shuffle!,24,7.31,158772,7,6
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,-1,8
Rozen Maiden: Tr?umend,12,7.78,72645,-1,44
D.N.Angel,26,7.35,126914,6,82
Chobits,26,7.57,266846,10,71
Naruto,220,7.81,683297,7,7
Prince of Tennis,178,8.04,87643,-1,63
Beck,26,8.4,148328,10,86
Cowboy Bebop,26,8.82,486824,9,56
Full Metal Panic! The Second Raid,13,8.06,155340,8,16
Rozen Maiden,12,7.57,128688,8,93
Trinity Blood,24,7.44,113791,8,22
Aa! Megami-sama! (TV),24,7.45,96694,6,84
Naruto,220,7.81,683297,8,94
Aa! Megami-sama! (TV),24,7.45,96694,7,17
Black Cat,23,7.52,150512,-1,92
Rozen Maiden,12,7.57,128688,8,67
Aa! Megami-sama! (TV),24,7.45,96694,-1,94
Eyeshield 21,145,8.08,83648,-1,4
Neon Genesis Evangelion,26,8.32,461946,10,15
Shuffle!,24,7.31,158772,8,67
DearS,12,6.8,91037,-1,28
Neon Genesis Evangelion,26,8.32,461946,10,84
Chrno Crusade,24,7.8,140865,8,47
Cowboy Bebop,26,8.82,486824,10,23
Full Metal Panic? Fumoffu,12,8.21,171086,-1,33
Naruto,220,7.81,683297,7,64
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,16
Berserk,25,8.4,226430,8,13
Naruto,220,7.81,683297,-1,52
Naruto,220,7.81,683297,6,27
Monster,74,8.72,247562,10,65
School Rumble,26,8.06,178553,8,61
Yakitate!! Japan,69,8.05,50876,4,5
Full Metal Panic!,24,7.81,256325,9,70
Naruto,220,7.81,683297,6,90
Azumanga Daioh,26,8.06,170901,7,7
Naruto,220,7.81,683297,9,29
Ai Yori Aoshi,24,7.24,66597,9,15
Chobits,26,7.57,266846,10,65
Neon Genesis Evangelion,26,8.32,461946,10,53
Chrno Crusade,24,7.8,140865,8,1
Neon Genesis Evangelion,26,8.32,461946,10,3
Cowboy Bebop,26,8.82,486824,10,70
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,-1,3
Black Cat,23,7.52,150512,9,46
Aa! Megami-sama! (TV),24,7.45,96694,-1,28
DearS,12,6.8,91037,-1,80
Trigun,26,8.32,283069,-1,93
Full Metal Panic! The Second Raid,13,8.06,155340,7,50
Ai Yori Aoshi,24,7.24,66597,5,44
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,-1,92
DearS,12,6.8,91037,5,68
Cowboy Bebop,26,8.82,486824,9,99
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,52
D.N.Angel,26,7.35,126914,8,43
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,8,53
Azumanga Daioh,26,8.06,170901,7,25
Trinity Blood,24,7.44,113791,7,72
Full Metal Panic!,24,7.81,256325,10,81
Azumanga Daioh,26,8.06,170901,10,47
Neon Genesis Evangelion,26,8.32,461946,9,4
Mobile Suit Gundam Wing,49,7.87,86001,6,50
Naruto,220,7.81,683297,7,2
Cowboy Bebop,26,8.82,486824,7,85
Naruto,220,7.81,683297,8,75
Mobile Suit Gundam Wing,49,7.87,86001,10,37
Last Exile,26,7.94,104193,8,86
Mobile Suit Gundam Seed Destiny,50,7.36,65896,-1,57
Mobile Suit Gundam Wing,49,7.87,86001,10,35
Mobile Suit Gundam,43,7.89,51566,7,32
Full Metal Panic!,24,7.81,256325,8,64
Naruto,220,7.81,683297,9,60
Chobits,26,7.57,266846,7,69
Berserk,25,8.4,226430,10,53
Shuffle!,24,7.31,158772,8,48
Full Metal Panic!,24,7.81,256325,-1,95
Cowboy Bebop,26,8.82,486824,8,53
Full Metal Panic!,24,7.81,256325,10,17
Full Metal Panic? Fumoffu,12,8.21,171086,9,75
Shuffle!,24,7.31,158772,7,2
Berserk,25,8.4,226430,9,71
DearS,12,6.8,91037,-1,50
Chobits,26,7.57,266846,10,46
Yakitate!! Japan,69,8.05,50876,7,86
Monster,74,8.72,247562,10,10
Full Metal Panic? Fumoffu,12,8.21,171086,7,74
Beck,26,8.4,148328,10,23
Mobile Suit Gundam Seed,50,7.93,96973,8,11
Neon Genesis Evangelion,26,8.32,461946,-1,97
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,57
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,75
Trigun,26,8.32,283069,7,96
Trinity Blood,24,7.44,113791,9,29
Cowboy Bebop,26,8.82,486824,9,48
Aa! Megami-sama! (TV),24,7.45,96694,5,27
Full Metal Panic! The Second Raid,13,8.06,155340,6,23
Monster,74,8.72,247562,10,70
Naruto,220,7.81,683297,7,93
Trinity Blood,24,7.44,113791,-1,85
Cowboy Bebop,26,8.82,486824,10,33
Berserk,25,8.4,226430,7,50
Cowboy Bebop,26,8.82,486824,10,36
Witch Hunter Robin,26,7.36,64905,5,13
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,7,56
Gakuen Alice,26,7.8,52995,-1,43
Trigun,26,8.32,283069,10,2
Naruto,220,7.81,683297,6,12
Cowboy Bebop,26,8.82,486824,10,94
Chobits,26,7.57,266846,6,59
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,69
DearS,12,6.8,91037,8,97
Rozen Maiden,12,7.57,128688,8,93
Mai-HiME,26,7.59,76492,8,55
D.N.Angel,26,7.35,126914,7,16
Neon Genesis Evangelion,26,8.32,461946,8,27
Trigun,26,8.32,283069,10,43
Rozen Maiden,12,7.57,128688,5,65
Sunabouzu,24,7.55,65516,8,83
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,62
Full Metal Panic? Fumoffu,12,8.21,171086,9,59
Trinity Blood,24,7.44,113791,10,45
Neon Genesis Evangelion,26,8.32,461946,9,44
Berserk,25,8.4,226430,7,31
Naruto,220,7.81,683297,7,53
Cowboy Bebop,26,8.82,486824,-1,51
Chrno Crusade,24,7.8,140865,-1,42
Beck,26,8.4,148328,9,11
