个人信息,校园卡编号,消费金额,存储金额,余额,消费次数,消费类型,消费地点,消费时间
182517-女,20182517,4.5,0,158,508,消费,第五食堂,2019-04-17 18_1
182189-女,20182189,7,0,14.6,427,消费,第四食堂,2019-04-08 12_1
182359-女,20182359,2,0,11.31,506,消费,第三食堂,2019-04-09 16_6
182120-女,20182120,10,0,78.2,664,消费,第二食堂,2019-04-15 11_11
182464-女,20182464,1.5,0,169.8,352,消费,第一食堂,2019-04-01 07_5
180367-女,2018367,1.2,0,55.8,1061,消费,第五食堂,2019-04-16 07_9
180738-女,2018738,0.4,0,96.3,921,消费,第二食堂,2019-04-23 11_8
182532-男,20182532,8,0,11.95,818,消费,第二食堂,2019-04-27 12_3
182505-女,20182505,4,0,62.36,623,消费,好利来食品店,2019-04-02 16_5
182890-女,20182890,0,300,301.8,530,存款,财务处,2019-04-10 12_5
184007-男,20184007,1.5,0,71.7,604,消费,第二食堂,2019-04-03 12_12
180612-女,2018612,9,0,262.91,911,消费,第三食堂,2019-04-25 12_1
182505-女,20182505,8,0,24.16,634,消费,第三食堂,2019-04-09 17_5
183240-女,20183240,1,0,103.7,237,消费,第五食堂,2019-04-03 07_7
183482-女,20183482,8,0,89.7,546,消费,第四食堂,2019-04-03 16_5
183651-女,20183651,3.5,0,33,696,消费,好利来食品店,2019-04-02 07_9
181667-男,20181667,1.5,0,146.8,740,消费,第一食堂,2019-04-18 07_5
181787-男,20181787,8,0,60.1,501,消费,第四食堂,2019-04-08 17_7
183395-女,20183395,7,0,61.8,525,消费,第二食堂,2019-04-19 19_3
183659-女,20183659,2.6,0,50.4,337,消费,第五食堂,2019-04-12 09_6
180234-男,2018234,4,0,61.2,345,消费,第五食堂,2019-04-14 19_11
180208-女,2018208,1.2,0,49.9,540,消费,第五食堂,2019-04-12 07_5
182678-女,20182678,0.4,0,83.8,705,消费,第五食堂,2019-04-25 11_6
184275-男,20184275,7,0,80.3,468,消费,第三食堂,2019-04-24 18_12
184044-女,20184044,4.5,0,51.77,713,消费,第二食堂,2019-04-08 11_10
181320-女,20181320,3.5,0,16.6,744,消费,第一食堂,2019-04-30 08_8
182288-女,20182288,3,0,101.3,581,消费,好利来食品店,2019-04-03 07_9
180382-女,2018382,2.5,0,58.56,651,消费,第五食堂,2019-04-26 11_11
180345-男,2018345,1.5,0,25.7,980,消费,第一食堂,2019-04-22 11_10
183408-女,20183408,1,0,80.9,789,消费,第二食堂,2019-04-20 08_3
181372-男,20181372,10.5,0,125,533,消费,第二食堂,2019-04-15 19_1
182278-女,20182278,9.1,0,12.36,750,消费,第五食堂,2019-04-19 12_2
181547-男,20181547,4.5,0,103.1,636,消费,红太阳超市,2019-04-12 19_2
180268-女,2018268,3,0,50.2,654,消费,第五食堂,2019-04-30 17_1
183797-女,20183797,0.5,0,25,689,消费,水电缴费处,2019-04-19 11_6
180369-女,2018369,5,0,141.8,561,消费,第五食堂,2019-04-16 11_11
183034-男,20183034,9,0,26.6,271,消费,第三食堂,2019-04-12 12_0
183262-女,20183262,1.5,0,6.7,1107,消费,第二食堂,2019-04-12 00_0
181854-女,20181854,22.5,0,48.1,528,消费,好利来食品店,2019-04-27 17_3
183706-女,20183706,1,0,77.4,742,消费,第五食堂,2019-04-08 07_9
183314-女,20183314,2.5,0,189.6,802,消费,第一食堂,2019-04-03 19_3
182238-男,20182238,0.6,0,344.6,712,消费,第三食堂,2019-04-02 11_10
181747-女,20181747,0,100,111,760,存款,财务处,2019-04-08 16_5
182888-女,20182888,8.5,0,72.1,245,消费,好利来食品店,2019-04-11 12_2
180598-女,2018598,2,0,65.3,776,消费,第二食堂,2019-04-30 07_10
180526-男,2018526,1.5,0,4.4,1051,消费,第一食堂,2019-04-03 21_9
183336-男,20183336,0,100,100.2,557,存款,财务处,2019-04-11 12_0
183703-女,20183703,5.5,0,3.7,635,消费,第三食堂,2019-04-12 11_10
183803-女,20183803,8,0,69.5,733,消费,第三食堂,2019-04-21 18_3
180045-女,201845,3,0,31.4,800,消费,第二食堂,2019-04-15 11_10
183321-女,20183321,1,0,133.2,701,消费,第二食堂,2019-04-15 07_10
181417-男,20181417,0.6,0,13.5,1060,消费,第二食堂,2019-04-08 07_4
183562-女,20183562,3,0,14.81,453,消费,第二食堂,2019-04-12 00_0
182213-女,20182213,2,0,74.4,945,消费,第五食堂,2019-04-24 07_3
181147-男,20181147,8,0,77.19,357,消费,第四食堂,2019-04-11 11_10
180926-男,2018926,7,0,1.5,542,消费,第四食堂,2019-04-21 17_11
182883-女,20182883,0.4,0,75.7,539,消费,第五食堂,2019-04-08 16_9
183708-女,20183708,7.5,0,222.85,776,消费,第五食堂,2019-04-12 17_7
183860-女,20183860,8.1,0,91.9,540,消费,第五食堂,2019-04-22 12_0
180682-女,2018682,0.6,0,90.4,846,消费,第二食堂,2019-04-12 19_6
182101-男,20182101,4,0,8.6,647,消费,第一食堂,2019-04-07 10_8
183429-女,20183429,0.5,0,16.7,623,消费,第五食堂,2019-04-27 17_2
183147-男,20183147,8,0,6.5,415,消费,第四食堂,2019-04-15 19_4
184315-男,20184315,2.5,0,13.6,257,消费,好利来食品店,2019-04-17 21_12
183188-女,20183188,4.5,0,66.8,394,消费,第二食堂,2019-04-12 00_0
182907-男,20182907,0,100,105.3,529,存款,财务处,2019-04-22 12_4
182707-女,20182707,0.4,0,180.5,463,消费,第五食堂,2019-04-02 17_8
182250-女,20182250,2,0,86.5,422,消费,第五食堂,2019-04-04 07_7
184203-女,20184203,4.2,0,19,318,消费,第五食堂,2019-04-18 07_9
182012-女,20182012,7,0,49.5,534,消费,第四食堂,2019-04-11 18_0
183804-女,20183804,6,0,262.2,497,消费,第五食堂,2019-04-11 11_11
184247-女,20184247,0,200,209.7,458,存款,财务处,2019-04-12 12_4
181498-男,20181498,0.6,0,84.4,674,消费,第二食堂,2019-04-04 11_1
181899-男,20181899,2,0,116.5,1264,消费,第一食堂,2019-04-19 07_9
180288-女,2018288,6,0,15,679,消费,第三食堂,2019-04-05 10_3
181291-女,20181291,4,0,86.35,494,消费,红太阳超市,2019-04-22 11_9
180274-女,2018274,1,0,24.5,908,消费,第五食堂,2019-04-01 07_8
184043-女,20184043,0.7,0,44.8,721,消费,第二食堂,2019-04-14 11_4
180150-女,2018150,3,0,97.6,360,消费,第五食堂,2019-04-02 11_9
181752-女,20181752,0.5,0,89.71,347,消费,第一食堂,2019-04-06 18_8
180934-男,2018934,3,0,49.78,564,消费,第四食堂,2019-04-16 18_12
181603-男,20181603,4,0,32.1,785,消费,第二食堂,2019-04-20 22_6
184275-男,20184275,2.6,0,192,379,消费,第五食堂,2019-04-04 17_10
183680-女,20183680,0.4,0,115.8,574,消费,第五食堂,2019-04-12 11_9
182962-男,20182962,0.6,0,75.4,444,消费,第五食堂,2019-04-23 11_10
184052-男,20184052,0,100,116.6,301,存款,财务处,2019-04-01 09_10
183346-男,20183346,6,0,83.2,735,消费,第一食堂,2019-04-06 12_2
180502-女,2018502,1.5,0,62.1,640,消费,第五食堂,2019-04-03 11_11
182360-女,20182360,0,50,53.3,649,存款,财务处,2019-04-03 11_11
181559-男,20181559,4,0,193.95,762,消费,第一食堂,2019-04-04 12_0
182412-男,20182412,9,0,61.2,627,消费,第四食堂,2019-04-02 18_5
180493-女,2018493,9.1,0,94.95,878,消费,第五食堂,2019-04-17 17_0
183872-女,20183872,2.5,0,68.9,456,消费,第五食堂,2019-04-08 11_10
180624-男,2018624,2.5,0,101.01,644,消费,第二食堂,2019-04-23 11_8
181050-女,20181050,1.2,0,97.51,574,消费,第二食堂,2019-04-23 07_6
180492-女,2018492,10.5,0,51.1,564,消费,第五食堂,2019-04-21 11_9
181094-男,20181094,0,100,104.9,631,存款,财务处,2019-04-11 17_4
180764-男,2018764,9,0,60.8,1015,消费,第四食堂,2019-04-11 12_5
183709-女,20183709,0.5,0,117.6,667,消费,第五食堂,2019-04-02 11_9
180748-女,2018748,4,0,73,695,消费,第一食堂,2019-04-29 09_10
180193-女,2018193,3,0,25.3,676,消费,第五食堂,2019-04-04 17_6
180113-女,2018113,4.5,0,52,897,消费,第五食堂,2019-04-18 17_5
181587-女,20181587,1,0,8.79,530,消费,第一食堂,2019-04-06 20_1
182745-男,20182745,5,0,2.98,470,消费,第三食堂,2019-04-16 16_11
183243-女,20183243,4,0,15.2,860,消费,第一食堂,2019-04-07 13_4
183395-女,20183395,7,0,59.3,497,消费,第四食堂,2019-04-04 11_8
180090-女,201890,5,0,70.2,347,消费,第四食堂,2019-04-26 12_2
180739-女,2018739,2.5,0,132.65,692,消费,第一食堂,2019-04-05 09_5
180450-女,2018450,3.5,0,115,760,消费,第五食堂,2019-04-22 16_10
181916-男,20181916,7,0,24,641,消费,第一食堂,2019-04-19 19_9
181597-男,20181597,10,0,73.8,1035,消费,第四食堂,2019-04-12 12_10
181013-女,20181013,1,0,126.5,887,消费,第二食堂,2019-04-12 20_9
182843-男,20182843,0.6,0,90.4,631,消费,第三食堂,2019-04-25 17_6
180111-女,2018111,0.5,0,38.7,1094,消费,第三食堂,2019-04-20 16_12
181561-男,20181561,1.2,0,137.6,984,消费,第二食堂,2019-04-13 08_11
180231-男,2018231,3,0,55.3,281,消费,好利来食品店,2019-04-20 19_7
182742-男,20182742,9,0,61.3,573,消费,第三食堂,2019-04-19 18_3
181314-女,20181314,1.6,0,70.8,766,消费,第二食堂,2019-04-10 07_5
180505-女,2018505,2,0,85.3,794,消费,好利来食品店,2019-04-20 20_6
181942-女,20181942,1,0,73.7,929,消费,第二食堂,2019-04-18 07_6
182716-男,20182716,2,0,98.3,527,消费,第五食堂,2019-04-08 17_12
181252-女,20181252,2.2,0,62.6,458,消费,第二食堂,2019-04-20 08_1
181927-女,20181927,4,0,52,644,消费,第二食堂,2019-04-10 11_12
184034-女,20184034,0.4,0,470.01,887,消费,第一食堂,2019-04-04 11_10
181387-男,20181387,9,0,44.4,894,消费,第四食堂,2019-04-19 18_4
180102-女,2018102,4,0,34.9,324,消费,第五食堂,2019-04-18 12_0
183254-女,20183254,7,0,76,627,消费,第四食堂,2019-04-02 17_11
182142-女,20182142,0.5,0,45.65,240,消费,第三食堂,2019-04-17 12_8
181604-男,20181604,8,0,17.8,1131,消费,第一食堂,2019-04-10 19_3
183835-女,20183835,10,0,275.7,1303,消费,第一食堂,2019-04-17 11_8
184169-男,20184169,2,0,25.9,740,消费,第二食堂,2019-04-25 11_11
181102-男,20181102,2,0,87.1,998,消费,第一食堂,2019-04-16 07_10
180340-男,2018340,6,0,44.74,691,消费,第二食堂,2019-04-15 17_11
183107-男,20183107,8,0,128.3,409,消费,第三食堂,2019-04-30 17_10
182704-女,20182704,8,0,71.16,253,消费,第三食堂,2019-04-11 12_0
181890-男,20181890,1.5,0,181.14,721,消费,第一食堂,2019-04-16 11_2
182631-女,20182631,4,0,93.7,417,消费,好利来食品店,2019-04-11 07_7
183367-女,20183367,3,0,39.7,526,消费,第二食堂,2019-04-19 11_0
183164-男,20183164,0,100,101.2,958,存款,财务处,2019-04-15 16_6
180433-男,2018433,2.5,0,72.2,847,消费,第五食堂,2019-04-21 20_10
180360-女,2018360,1.2,0,66.4,646,消费,第五食堂,2019-04-03 07_8
184079-男,20184079,9,0,80,692,消费,第一食堂,2019-04-05 13_1
181379-男,20181379,2,0,106.34,818,消费,第二食堂,2019-04-20 20_0
182445-女,20182445,6,0,219.5,559,消费,第五食堂,2019-04-13 12_8
182469-女,20182469,8.1,0,5.1,586,消费,第五食堂,2019-04-09 11_11
182075-女,20182075,2,0,20.1,493,消费,第二食堂,2019-04-01 07_9
180313-女,2018313,0.5,0,89.6,677,消费,第二食堂,2019-04-25 11_10
180225-男,2018225,0.5,0,116.34,525,消费,第二食堂,2019-04-19 11_7
184332-男,20184332,8,0,114.2,707,消费,第五食堂,2019-04-29 18_5
182786-男,20182786,4,0,95.7,249,消费,第三食堂,2019-04-08 12_9
181679-男,20181679,3,0,40.5,616,消费,第二食堂,2019-04-19 20_10
180443-男,2018443,1.5,0,62.6,576,消费,第五食堂,2019-04-19 07_8
180076-男,201876,2.5,0,41.2,605,消费,第五食堂,2019-04-20 12_0
180048-女,201848,0.4,0,24.56,680,消费,第五食堂,2019-04-19 18_2
182485-女,20182485,8,0,153.8,634,消费,第三食堂,2019-04-08 13_0
181470-男,20181470,0.7,0,20.7,918,消费,第二食堂,2019-04-27 12_9
181590-女,20181590,0.4,0,49.9,481,消费,第二食堂,2019-04-15 17_5
182740-男,20182740,0.6,0,34.6,712,消费,第五食堂,2019-04-02 11_5
183009-男,20183009,4.5,0,170.3,617,消费,第五食堂,2019-04-16 12_2
180651-女,2018651,2,0,116.5,885,消费,第二食堂,2019-04-10 19_1
180506-女,2018506,5,0,35.5,589,消费,第五食堂,2019-04-10 16_5
183307-女,20183307,2,0,47.7,676,消费,第二食堂,2019-04-08 19_2
183595-女,20183595,3.5,0,7.2,1004,消费,第二食堂,2019-04-26 12_1
181022-女,20181022,9,0,41.1,797,消费,第四食堂,2019-04-23 11_11
184174-女,20184174,4,0,71.6,257,消费,好利来食品店,2019-04-08 07_9
182391-女,20182391,3.5,0,51.7,596,消费,第五食堂,2019-04-23 11_12
180622-男,2018622,3,0,69.62,1234,消费,第二食堂,2019-04-27 12_2
183782-女,20183782,0.4,0,83.7,435,消费,第五食堂,2019-04-17 11_12
180545-女,2018545,3,0,86.4,770,消费,第二食堂,2019-04-16 07_7
180105-女,2018105,1,0,15.9,884,消费,第五食堂,2019-04-25 08_4
183979-女,20183979,0.5,0,73.5,735,消费,第三食堂,2019-04-20 11_10
183306-女,20183306,1,0,174.9,683,消费,第二食堂,2019-04-16 21_2
180465-女,2018465,3,0,65.4,605,消费,第二食堂,2019-04-15 21_7
180748-女,2018748,1,0,60.86,751,消费,第二食堂,2019-04-24 17_6
180108-女,2018108,2.5,0,244.7,840,消费,第五食堂,2019-04-30 16_5
183490-女,20183490,3.5,0,78.7,761,消费,第一食堂,2019-04-04 11_9
181821-男,20181821,2,0,53.8,788,消费,第二食堂,2019-04-03 00_0
182747-男,20182747,6,0,165.3,742,消费,好利来食品店,2019-04-17 12_5
183352-男,20183352,4,0,115.1,622,消费,第一食堂,2019-04-03 13_6
180317-女,2018317,2,0,102.94,802,消费,第五食堂,2019-04-11 07_4
184312-女,20184312,8,0,28,362,消费,第四食堂,2019-04-04 12_0
182300-女,20182300,9,0,153.8,652,消费,第四食堂,2019-04-10 18_11
181751-女,20181751,7,0,14.3,615,消费,第四食堂,2019-04-22 18_2
182436-女,20182436,6,0,32.2,542,消费,第三食堂,2019-04-22 11_11
184109-男,20184109,8,0,81.04,707,消费,第四食堂,2019-04-21 12_0
180856-女,2018856,0.6,0,98,843,消费,第二食堂,2019-04-03 07_7
180666-女,2018666,0.5,0,63.3,841,消费,第二食堂,2019-04-26 11_11
180546-女,2018546,5,0,169.21,695,消费,第二食堂,2019-04-11 18_12
183392-女,20183392,1.5,0,12.6,455,消费,第一食堂,2019-04-15 07_9
181681-男,20181681,1.2,0,67.62,747,消费,第二食堂,2019-04-10 07_3
181355-男,20181355,0.6,0,62,973,消费,第二食堂,2019-04-23 07_10
180018-女,201818,8.1,0,116.9,451,消费,第五食堂,2019-04-11 11_12
180624-男,2018624,0.5,0,33.61,540,消费,第二食堂,2019-04-01 11_11
180780-女,2018780,7,0,98.7,952,消费,第二食堂,2019-04-08 11_6
181112-男,20181112,3,0,120.6,701,消费,红太阳超市,2019-04-17 11_8
181679-男,20181679,1.6,0,103.6,592,消费,第二食堂,2019-04-15 08_5
184084-男,20184084,0.8,0,57,682,消费,第二食堂,2019-04-03 13_2
182985-男,20182985,2.5,0,124.2,336,消费,好利来食品店,2019-04-01 12_0
182990-男,20182990,8,0,88,694,消费,第四食堂,2019-04-08 12_6
182455-女,20182455,2.6,0,186.3,642,消费,第五食堂,2019-04-12 07_7
181084-男,20181084,3.5,0,34.17,834,消费,第二食堂,2019-04-25 12_6
182359-女,20182359,6,0,5.31,507,消费,好利来食品店,2019-04-09 16_9
183743-女,20183743,0,80,99.6,569,存款,财务处,2019-04-08 11_9
181246-男,20181246,2,0,88.4,590,消费,第二食堂,2019-04-09 20_7
181443-男,20181443,4,0,100.7,989,消费,第二食堂,2019-04-25 17_10
183188-女,20183188,2,0,1.8,367,消费,第二食堂,2019-04-03 07_8
183901-女,20183901,7,0,71.4,693,消费,好利来食品店,2019-04-20 12_4
182695-女,20182695,2,0,177.5,642,消费,第二食堂,2019-04-29 00_0
180255-女,2018255,0.5,0,105.9,783,消费,第三食堂,2019-04-03 11_12
180397-女,2018397,7,0,64,752,消费,第二食堂,2019-04-12 16_4
184311-女,20184311,4.1,0,25,389,消费,第五食堂,2019-04-02 07_5
180007-男,20187,1.5,0,145.9,867,消费,第五食堂,2019-04-19 07_7
183555-女,20183555,1.2,0,15,446,消费,第二食堂,2019-04-23 07_6
183113-男,20183113,2.5,0,84.6,549,消费,第一食堂,2019-04-18 11_12
180183-女,2018183,0.5,0,114.1,632,消费,第三食堂,2019-04-26 11_12
181035-女,20181035,3,0,85.7,696,消费,第二食堂,2019-04-04 09_8
180849-女,2018849,4,0,1.5,997,消费,第二食堂,2019-04-22 11_11
182306-男,20182306,8,0,68.01,288,消费,第四食堂,2019-04-25 18_4
180212-男,2018212,2,0,63,160,消费,第五食堂,2019-04-19 07_2
180450-女,2018450,5.5,0,97,733,消费,第三食堂,2019-04-15 11_8
181982-男,20181982,3.5,0,58.6,762,消费,第二食堂,2019-04-10 12_1
182464-女,20182464,2,0,51.8,373,消费,第一食堂,2019-04-09 07_6
182816-女,20182816,0.5,0,14.2,838,消费,第三食堂,2019-04-10 11_12
180589-女,2018589,7,0,151.7,720,消费,第四食堂,2019-04-01 18_10
183166-男,20183166,8,0,146.8,586,消费,第四食堂,2019-04-01 18_3
181573-男,20181573,2,0,27,722,消费,第一食堂,2019-04-24 09_11
182098-男,20182098,8,0,36.5,822,消费,第五食堂,2019-04-15 18_12
183468-女,20183468,0.4,0,12.8,672,消费,第二食堂,2019-04-20 11_11
182210-女,20182210,2.5,0,188.7,691,消费,第五食堂,2019-04-04 07_6
183416-女,20183416,1.5,0,79.3,501,消费,第一食堂,2019-04-18 10_5
181106-男,20181106,1.2,0,263,893,消费,第二食堂,2019-04-09 19_12
183851-女,20183851,3.5,0,32,614,消费,第五食堂,2019-04-03 10_11
181960-男,20181960,5.5,0,47.6,237,消费,第二食堂,2019-04-01 18_1
180336-女,2018336,7,0,17.8,385,消费,第一食堂,2019-04-26 12_6
182991-男,20182991,1.5,0,11.3,638,消费,第五食堂,2019-04-16 18_6
180167-女,2018167,2,0,211.9,1044,消费,第五食堂,2019-04-11 07_5
181256-女,20181256,7,0,45.3,561,消费,第四食堂,2019-04-25 18_8
180785-女,2018785,1.5,0,119.5,1007,消费,第二食堂,2019-04-26 11_11
183838-女,20183838,4,0,20.7,342,消费,第一食堂,2019-04-23 01_3
184320-女,20184320,3.1,0,177.3,473,消费,第五食堂,2019-04-11 09_9
182879-男,20182879,4.5,0,83.7,472,消费,好利来食品店,2019-04-01 21_8
181320-女,20181320,2,0,24.9,775,消费,红太阳超市,2019-04-18 15_4
183857-女,20183857,0.4,0,62.5,541,消费,第五食堂,2019-04-15 11_9
180612-女,2018612,2,0,80.61,821,消费,第一食堂,2019-04-29 07_12
180363-女,2018363,4.4,0,115,925,消费,好利来食品店,2019-04-16 12_1
181091-男,20181091,1,0,103.4,733,消费,第二食堂,2019-04-17 05_5
184028-女,20184028,0.4,0,16,744,消费,第二食堂,2019-04-23 18_1
180405-女,2018405,7,0,166.9,596,消费,第四食堂,2019-04-17 11_12
181064-男,20181064,3.5,0,17.81,647,消费,红太阳超市,2019-04-20 06_12
182861-男,20182861,8,0,108,641,消费,第三食堂,2019-04-02 11_8
184257-男,20184257,10,0,33,491,消费,好利来食品店,2019-04-22 07_9
182783-男,20182783,0.6,0,68.9,394,消费,第三食堂,2019-04-03 17_9
180357-女,2018357,4,0,61.7,532,消费,第五食堂,2019-04-26 11_11
181387-男,20181387,2,0,60.4,892,消费,第二食堂,2019-04-19 09_7
183656-女,20183656,13.1,0,145.1,582,消费,好利来食品店,2019-04-12 12_6
182905-男,20182905,0.8,0,9.4,992,消费,第二食堂,2019-04-10 11_9
184140-女,20184140,1,0,51.6,759,消费,第一食堂,2019-04-12 11_11
183281-男,20183281,8,0,23.6,689,消费,第四食堂,2019-04-20 12_9
182579-女,20182579,8.1,0,63.2,560,消费,第五食堂,2019-04-25 16_8
181421-男,20181421,1,0,77.3,1064,消费,第二食堂,2019-04-22 00_0
180122-女,2018122,0.5,0,145.9,688,消费,第三食堂,2019-04-11 11_11
180714-女,2018714,6,0,51.1,1162,消费,第二食堂,2019-04-24 12_0
184108-男,20184108,2,0,47.5,312,消费,第二食堂,2019-04-03 17_5
180554-女,2018554,7,0,55.61,751,消费,第四食堂,2019-04-12 12_0
182760-男,20182760,0.6,0,32.3,629,消费,第三食堂,2019-04-25 17_7
181318-女,20181318,7,0,87.5,641,消费,第四食堂,2019-04-09 18_3
180484-女,2018484,9,0,18.9,643,消费,第四食堂,2019-04-16 18_2
182922-男,20182922,8,0,17.2,480,消费,好利来食品店,2019-04-03 22_4
182497-女,20182497,9,0,70.4,648,消费,红太阳超市,2019-04-24 19_5
181826-男,20181826,3.5,0,141.7,545,消费,第四食堂,2019-04-16 11_11
184227-女,20184227,8,0,236.1,356,消费,好利来食品店,2019-04-03 09_6
182213-女,20182213,0.4,0,82,941,消费,第五食堂,2019-04-23 18_1
182422-女,20182422,0.5,0,80.6,792,消费,第三食堂,2019-04-21 11_9
180167-女,2018167,0,200,228.1,1035,存款,财务处,2019-04-09 12_1
184158-女,20184158,10,0,72.35,519,消费,第三食堂,2019-04-17 11_12
184299-男,20184299,1.2,0,32.6,772,消费,第五食堂,2019-04-25 07_9
181883-男,20181883,3.5,0,40.9,708,消费,第一食堂,2019-04-01 11_12
180591-女,2018591,2,0,77.4,733,消费,第二食堂,2019-04-02 11_1
184285-男,20184285,2.6,0,61.1,295,消费,第五食堂,2019-04-14 09_0
183341-男,20183341,7,0,59.58,950,消费,第四食堂,2019-04-19 12_4
183297-女,20183297,11,0,44.1,677,消费,第二食堂,2019-04-21 13_0
181263-女,20181263,0.4,0,8.9,232,消费,第二食堂,2019-04-16 11_12
181099-男,20181099,2,0,72.7,1076,消费,第二食堂,2019-04-13 18_4
181266-女,20181266,3.5,0,3.36,787,消费,第一食堂,2019-04-25 07_9
181368-男,20181368,0.2,0,166.8,516,消费,水电缴费处,2019-04-26 15_11
181422-男,20181422,3.5,0,190.3,298,消费,好利来食品店,2019-04-24 07_7
183314-女,20183314,1.6,0,38.5,855,消费,第二食堂,2019-04-17 09_5
184027-女,20184027,3,0,144.7,621,消费,第二食堂,2019-04-16 07_4
184042-女,20184042,1.5,0,127.4,867,消费,第二食堂,2019-04-25 09_7
183980-女,20183980,2,0,36.16,591,消费,第五食堂,2019-04-23 12_0
