商品名,用户编号,购买数量,购买日期,购买单价
GP,6e2105d9fe,4,2021/4/15,598
GP,6e2105d9fe,1,2021/6/30,598
GP,6e2105d9fe,2,2021/2/5,598
GP,6e2105d9fe,1,2021/6/24,598
GP,6e2105d9fe,1,2021/5/6,598
GP,6e2105d9fe,2,2021/5/6,598
GP,6e2105d9fe,2,2021/7/5,598
GP,6e2105d9fe,2,2021/4/12,598
GP,6e2105d9fe,2,2021/9/5,598
GP,6e2105d9fe,1,2021/5/28,598
GP,9cb1f66b15,1,2021/6/13,598
GP,9cb1f66b15,4,2021/5/7,598
GP,9cb1f66b15,1,2021/2/2,598
GP,9cb1f66b15,1,2021/6/30,598
GP,9cb1f66b15,1,2021/5/22,598
GP,9cb1f66b15,1,2021/6/30,598
GP,9cb1f66b15,4,2021/5/7,598
GP,9cb1f66b15,2,2021/6/30,598
GP,9cb1f66b15,4,2021/5/20,598
GP,9cb1f66b15,3,2021/6/30,598
GP,9cb1f66b15,1,2021/7/4,598
GP,9a5deb2794,1,2021/6/21,598
GP,9a5deb2794,1,2021/4/30,598
GP,9a5deb2794,1,2021/6/5,598
GP,9a5deb2794,1,2021/5/4,598
GP,9a5deb2794,3,2021/5/17,598
GP,9a5deb2794,1,2021/6/16,598
GP,9a5deb2794,2,2021/5/26,598
GP,9a5deb2794,1,2021/4/28,598
GP,9a5deb2794,1,2021/5/28,598
GP,910dbb74a5,3,2021/6/30,598
GP,910dbb74a5,2,2021/5/18,598
GP,910dbb74a5,1,2021/6/1,598
GP,910dbb74a5,1,2021/5/28,598
GP,910dbb74a5,1,2021/6/30,598
GP,910dbb74a5,2,2021/5/2,598
GP,135330296b,1,2021/3/5,598
GP,135330296b,4,2021/6/3,598
GP,135330296b,1,2021/7/11,598
GP,135330296b,1,2021/6/30,598
GP,135330296b,4,2021/4/13,598
GP,135330296b,3,2021/5/26,598
GP,135330296b,1,2021/5/24,598
GP,135330296b,4,2021/6/30,598
GP,135330296b,2,2021/4/15,598
GP,135330296b,4,2021/5/10,598
GP,c446c41e48,1,2021/6/6,598
GP,c446c41e48,1,2021/1/20,598
GP,c446c41e48,3,2021/2/10,598
GP,c446c41e48,4,2021/6/11,598
GP,c446c41e48,1,2021/6/18,598
GP,c446c41e48,2,2021/5/2,598
GP,c446c41e48,1,2021/6/8,598
GP,c446c41e48,1,2021/6/30,598
GP,c446c41e48,1,2021/6/28,598
GP,c446c41e48,2,2021/2/9,598
GP,2a9ba95c86,4,2021/1/28,598
GP,2a9ba95c86,2,2021/5/7,598
GP,2a9ba95c86,1,2021/6/30,598
GP,2a9ba95c86,2,2021/9/24,598
GP,2a9ba95c86,1,2021/2/3,598
GP,2a9ba95c86,2,2021/5/2,598
GP,2a9ba95c86,1,2021/5/13,598
GP,2a9ba95c86,4,2021/5/29,598
GP,2a9ba95c86,4,2021/4/14,598
GP,777146ae72,1,2021/5/30,598
GP,777146ae72,2,2021/4/28,598
GP,777146ae72,3,2021/6/30,598
GP,777146ae72,3,2021/4/8,598
GP,777146ae72,3,2021/6/9,598
GP,777146ae72,1,2021/6/1,598
GP,777146ae72,4,2021/7/7,598
GP,777146ae72,2,2021/4/19,598
GP,777146ae72,1,2021/6/17,598
GP,7771374972,3,2021/5/10,598
GP,7771374972,1,2021/8/1,598
GP,7771374972,4,2021/5/30,598
GP,7771374972,2,2021/5/13,598
GP,7771374972,1,2021/1/11,598
GP,7771374972,3,2021/2/4,598
GP,7771374972,4,2021/7/8,598
GP,7771374972,4,2021/5/23,598
GP,7771374972,3,2021/5/1,598
GP,55ae8e8a4,1,2021/5/24,598
GP,55ae8e8a4,2,2021/4/29,598
GP,55ae8e8a4,1,2021/6/18,598
GP,55ae8e8a4,3,2021/5/19,598
GP,55ae8e8a4,4,2021/5/2,598
GP,55ae8e8a4,2,2021/6/1,598
GP,55ae8e8a4,3,2021/1/27,598
GP,55ae8e8a4,1,2021/4/29,598
GP,55ae8e8a4,4,2021/4/1,598
GP,6724e1c210,1,2021/6/29,598
GP,6724e1c210,2,2021/3/30,598
GP,6724e1c210,1,2021/6/11,598
GP,6724e1c210,3,2021/5/29,598
GP,6724e1c210,3,2021/6/22,598
GP,6724e1c210,4,2021/6/30,598
GP,6724e1c210,1,2021/1/11,598
GP,6724e1c210,3,2021/4/23,598
GP,6724e1c210,3,2021/6/22,598
GP,15a73b8d58,1,2021/7/26,598
GP,15a73b8d58,1,2021/8/21,598
GP,15a73b8d58,2,2021/6/11,598
GP,15a73b8d58,4,2021/6/3,598
GP,15a73b8d58,3,2021/6/1,598
GP,15a73b8d58,2,2021/9/17,598
GP,15a73b8d58,2,2021/7/2,598
GP,15a73b8d58,4,2021/6/4,598
GP,15a73b8d58,4,2021/7/27,598
GP,15a73b8d58,3,2021/6/25,598
GP,910dbb33d4,4,2021/3/24,598
GP,910dbb33d4,1,2021/4/13,598
GP,910dbb33d4,1,2021/7/7,598
GP,910dbb33d4,1,2021/8/24,598
GP,910dbb33d4,1,2021/1/25,598
GP,910dbb33d4,1,2021/3/31,598
GP,910dbb33d4,1,2021/8/24,598
GP,910dbb33d4,3,2021/9/30,598
GP,910dbb33d4,3,2021/1/20,598
GP,15a74b0326,2,2021/7/7,598
GP,15a74b0326,2,2021/9/17,598
GP,15a74b0326,1,2021/8/1,598
GP,15a74b0326,1,2021/6/26,598
GP,15a74b0326,4,2021/9/18,598
GP,15a74b0326,4,2021/7/29,598
GP,15a74b0326,1,2021/9/29,598
GP,15a74b0326,3,2021/8/6,598
GP,15a74b0326,1,2021/8/31,598
GP,15a74b0326,4,2021/8/5,598
GP,910dbaf0a2,2,2021/3/18,598
GP,910dbaf0a2,4,2021/6/28,598
GP,910dbaf0a2,1,2021/9/5,598
GP,910dbaf0a2,1,2021/8/5,598
GP,910dbaf0a2,2,2021/6/30,598
GP,910dbaf0a2,4,2021/4/29,598
GP,910dbaf0a2,2,2021/9/6,598
GP,910dbaf0a2,1,2021/6/8,598
GP,910dbaf0a2,4,2021/6/9,598
GP,a60227eda7,1,2021/1/18,598
GP,a60227eda7,2,2021/9/30,598
GP,a60227eda7,4,2021/9/30,598
GP,a60227eda7,1,2021/2/2,598
GP,a60227eda7,1,2021/9/16,598
GP,a60227eda7,1,2021/4/14,598
GP,a60227eda7,4,2021/5/28,598
GP,a60227eda7,2,2021/7/5,598
GP,a60227eda7,3,2021/3/12,598
GP,a60227eda7,1,2021/9/30,598
GP,a60227eda7,2,2021/7/5,598
GP,dde348f688,3,2021/6/28,598
GP,dde348f688,1,2021/8/31,598
GP,dde348f688,1,2021/8/25,598
GP,dde348f688,4,2021/6/12,598
GP,dde348f688,4,2021/6/29,598
GP,dde348f688,1,2021/7/31,598
GP,dde348f688,1,2021/9/16,598
GP,dde348f688,2,2021/8/23,598
GP,dde348f688,4,2021/9/14,598
GP,dde348f688,1,2021/6/28,598
GP,4fdc69d971,1,2021/9/29,598
GP,4fdc69d971,2,2021/8/10,598
GP,4fdc69d971,1,2021/9/21,598
GP,4fdc69d971,4,2021/6/19,598
GP,4fdc69d971,2,2021/6/10,598
GP,4fdc69d971,3,2021/9/28,598
GP,4fdc69d971,3,2021/9/1,598
GP,4fdc69d971,1,2021/7/20,598
GP,4fdc69d971,1,2021/8/12,598
GP,8c65a3adbf,1,2021/7/12,598
GP,8c65a3adbf,3,2021/9/13,598
GP,8c65a3adbf,3,2021/6/17,598
GP,8c65a3adbf,3,2021/6/27,598
GP,8c65a3adbf,1,2021/6/26,598
GP,8c65a3adbf,3,2021/7/8,598
GP,8c65a3adbf,2,2021/7/10,598
GP,8c65a3adbf,2,2021/7/2,598
GP,2a9ba96717,2,2021/6/20,598
GP,2a9ba96717,4,2021/9/24,598
GP,2a9ba96717,2,2021/9/26,598
GP,2a9ba96717,2,2021/8/4,598
GP,2a9ba96717,2,2021/9/7,598
GP,2a9ba96717,1,2021/3/3,598
GP,2a9ba96717,4,2021/3/5,598
GP,2a9ba96717,2,2021/9/30,598
GP,2a9ba96717,1,2021/3/15,598
GP,56d88e36e7,1,2021/9/29,598
GP,56d88e36e7,3,2021/7/1,598
GP,56d88e36e7,2,2021/7/26,598
GP,56d88e36e7,1,2021/7/7,598
GP,56d88e36e7,2,2021/8/15,598
GP,56d88e36e7,1,2021/8/27,598
GP,56d88e36e7,1,2021/6/22,598
GP,56d88e36e7,1,2021/6/12,598
GP,7075124e8f,3,2021/4/26,598
GP,7075124e8f,1,2021/8/26,598
GP,7075124e8f,1,2021/7/15,598
GP,7075124e8f,1,2021/7/19,598
GP,7075124e8f,1,2021/8/11,598
