userId,songId,rating,type
1,31,2.5,Electronic
1,1129,2.0,Classical
1,1029,3.0,country music
1,1061,3.0,Anime
1,1263,2.0,absolute music
1,1287,2.0,Country
1,1293,2.0,Jazz
1,1339,3.5,Rap
1,1343,2.0,Anime
1,1371,2.5,Classical
1,1405,1.0,Alternative
1,1172,4.0,country music
1,2105,4.0,Blues
1,2150,3.0,Contemporary
1,2193,2.0,Electronic
1,2294,2.0,Alternative
1,2455,2.5,Orchestral
1,2968,1.0,Blues
1,3671,3.0,Hip-Hop
1,1953,4.0,Country
2,208,3.0,Rock
2,350,4.0,R&B
2,356,3.0,Contemporary
2,357,3.0,absolute music
2,364,3.0,R&B
2,367,3.0,Orchestral
2,720,4.0,Alternative
2,592,5.0,Classical
2,616,3.0,Alternative
2,593,3.0,Alternative
2,590,5.0,Contemporary
2,589,5.0,Punk
2,588,3.0,Rap
2,349,4.0,Anime
2,661,4.0,Classical
2,319,1.0,Rock
2,261,4.0,Classical
2,300,3.0,Country
2,410,3.0,Classical
2,273,4.0,Orchestral
2,339,3.0,Anime
2,225,3.0,Classical
2,235,3.0,Rock
2,253,4.0,Classical
2,317,2.0,Contemporary
2,587,3.0,Classical
2,266,5.0,Anime
2,272,3.0,Alternative
2,552,3.0,Anime
2,370,2.0,country music
2,292,3.0,Hip-Hop
2,296,4.0,Orchestral
2,265,5.0,absolute music
2,223,1.0,Hip-Hop
2,186,3.0,Classical
2,585,5.0,Jazz
2,586,3.0,Orchestral
2,168,3.0,Anime
2,165,3.0,R&B
2,161,3.0,Contemporary
2,153,4.0,country music
2,150,5.0,R&B
2,110,4.0,Classical
2,62,3.0,Blues
2,52,3.0,Contemporary
2,50,4.0,Contemporary
2,47,4.0,Blues
2,39,5.0,R&B
2,17,5.0,Orchestral
2,10,4.0,country music
2,185,3.0,Rap
2,144,3.0,country music
2,527,4.0,Electronic
2,551,5.0,Anime
2,539,3.0,Punk
2,454,4.0,Orchestral
2,457,3.0,country music
2,474,2.0,R&B
2,480,4.0,absolute music
2,377,3.0,Rock
2,468,4.0,Electronic
2,497,3.0,Hip-Hop
2,500,4.0,Punk
2,372,3.0,Alternative
2,508,4.0,Hip-Hop
2,509,4.0,Rock
2,515,4.0,country music
2,485,3.0,Jazz
3,1271,3.0,Electronic
3,1210,3.0,Contemporary
3,3949,5.0,Classical
3,318,5.0,Orchestral
3,527,3.0,Electronic
3,377,2.5,Rock
3,5349,3.0,Classical
3,866,3.0,Contemporary
3,2762,3.5,Rock
3,110,4.0,Classical
3,592,3.0,Classical
3,1378,4.0,Blues
3,2028,4.0,Punk
3,8622,3.5,Orchestral
3,8636,3.0,Anime
3,1197,5.0,Anime
3,1235,4.0,country music
3,3510,4.0,Jazz
3,6377,3.0,Rap
3,296,4.5,Orchestral
3,355,2.5,Orchestral
3,588,3.0,Rap
3,1721,4.5,country music
3,60,3.0,Rock
3,356,5.0,Contemporary
3,593,3.0,Alternative
3,1580,3.5,Alternative
3,778,4.0,country music
3,5669,3.5,Alternative
3,1884,4.0,Classical
3,736,3.5,Contemporary
3,2858,4.0,Contemporary
3,7153,2.5,Rap
