id,是否有房,是否有车,是否有孩,近6个月异地交易金额均值,近6个月交易金额,近6个月有交易月份数
0,0,0,0,1253.0,3974.5,5
1,0,0,0,3402.0,6804.0,2
2,0,0,1,2876.18,14380.9,5
3,0,0,0,521.0,521.0,1
4,0,0,0,,,0
5,0,0,0,,,0
6,0,0,0,5662.53,11325.06,2
7,0,0,0,5932.0,29660.0,5
8,0,0,0,8442.006667,50652.04,6
9,0,0,0,5687.846667,17141.54,4
10,0,0,0,,,0
11,0,0,0,,,0
12,0,0,0,3382.0083329999998,20457.35,6
13,0,0,1,3099.3,3099.3,1
14,0,0,0,9466.19,18932.38,2
15,1,0,0,8793.43,35173.72,4
16,0,0,0,3121.666667,18730.01,6
17,0,0,0,,,0
18,0,0,0,7226.793333,43360.76,6
19,0,0,0,100.0,100.0,1
20,1,0,0,1309.94,1309.94,1
21,0,0,0,4793.4,28760.4,6
22,0,0,0,,1825.21,3
23,0,0,0,2180.0,2180.0,1
24,0,0,0,751.8,1503.6,2
25,1,0,1,3506.6,16668.2,6
26,0,0,0,,,0
27,1,0,1,1990.0,4021.0,3
28,0,0,0,1300.0,2600.0,2
29,1,0,0,,,0
30,0,0,0,,,0
31,1,0,0,,128.0,2
32,0,0,0,217.78,1088.9,5
33,0,0,0,,,0
34,0,0,0,4772.5,19855.0,6
35,0,0,0,1150.0,2300.0,2
36,1,0,0,1920.8233329999998,6562.47,5
37,0,0,0,450.0,9198.9,3
38,1,0,1,2782.15,16692.9,6
39,0,0,0,2079.825,9134.3,6
40,0,0,0,,,0
41,0,0,0,,,0
42,1,0,0,3200.0,9207.2,2
43,0,0,0,14982.05,89892.3,6
44,0,0,0,,,0
45,0,0,0,,197.4,4
46,0,0,0,16883.33333,101410.2,6
47,0,0,0,371.4,3082.8,6
48,0,0,0,5609.14,28625.6,6
49,0,0,0,1004.4,10482.4,6
50,0,0,0,,,0
51,0,0,0,60.0,80.0,2
52,0,0,0,,,0
53,0,0,0,,,0
54,1,0,0,,89000.0,1
55,0,0,0,,,0
56,0,0,0,2099.625,13363.85,6
57,0,0,0,519.2,1557.6,3
58,0,0,0,7521.592,37607.96,5
59,0,0,0,3717.74,3717.74,1
60,0,0,0,629.605,2518.42,4
61,0,0,0,14880.256669999999,89477.54,6
62,1,0,1,1594.4,4783.2,3
63,1,0,0,314.92,314.92,1
64,0,0,0,460.02,460.12,1
65,0,0,1,1097.0,164882.0,5
66,1,0,0,,,0
67,0,0,0,869.52,4347.6,5
68,0,0,0,3816.0,7632.0,2
69,0,0,0,,,0
70,0,0,0,,,0
71,0,0,0,,,0
72,0,0,0,497.0,497.0,1
73,0,0,0,1815.8866670000002,5947.66,4
74,0,0,0,4901.02,26056.06,5
75,1,0,0,,,0
76,0,0,0,6424.276667,38545.66,6
77,0,0,0,9613.31,19226.62,2
78,0,0,1,2919.093333,8757.28,3
79,0,0,0,1070.4,5437.0,4
80,0,0,0,507.69,2338.69,3
81,1,0,1,,,0
82,0,0,1,1357.333333,4072.0,3
83,0,0,1,754.0,1770.5,3
84,0,0,0,15783.166669999999,62345.5,5
85,0,0,0,3176.84,6476.84,2
86,0,0,0,500.5,2427.0,5
87,1,0,0,500.0,520.0,2
88,0,0,1,20601.48,61804.44,3
89,0,0,0,1000.0,1073.8,2
90,0,0,0,,40.0,1
91,0,0,0,636.61,1273.22,2
92,0,0,1,1942.296667,10262.66,6
93,0,0,0,,,0
94,1,0,1,152.0,600.5,2
95,0,0,0,977.25,1954.5,2
96,0,0,0,2051.666667,6155.0,3
97,0,0,0,,,0
98,1,0,0,,1848.0,1
99,0,0,0,309.5,309.5,1
100,0,0,0,1006.666667,3020.0,3
101,1,0,0,,1.01,1
102,0,0,1,,,0
103,0,0,0,1036.25,4145.0,4
104,0,0,0,3147.03,6294.06,2
105,1,0,0,4186.991667,25121.95,6
106,0,0,0,,5487.3,5
107,0,0,1,4180.666667,12542.0,3
108,0,0,0,2469.9,7643.7,4
109,1,0,1,4655.876667,28096.26,6
110,1,0,0,3667.4,14669.6,4
111,0,0,1,,336.0,1
112,0,0,0,21036.703999999998,105183.52,5
113,0,0,0,700.0,3214.78,3
114,0,0,0,496.968,2484.84,5
115,0,0,0,1900.0916670000001,11777.8,6
116,0,0,0,1000.0,4480.0,4
117,0,0,0,2240.7,8962.8,4
118,0,0,1,,,0
119,0,0,0,2590.448,12952.24,5
120,1,0,0,16177.255,34378.51,3
121,0,0,0,,515.9,2
122,0,0,0,10774.0725,45409.73,6
123,0,0,0,7453.715,46114.59,6
124,0,0,0,1448.5975,5794.39,4
125,1,0,0,513.225,15669.24,6
126,0,0,0,,,0
127,0,0,0,,,0
128,0,0,0,2890.0,11560.0,4
129,0,0,0,995.31,2284.81,3
130,0,0,1,2249.158,11245.79,5
131,0,0,0,2673.3,10697.2,5
132,0,0,0,2407.68,12049.4,5
133,0,0,0,5837.5,23350.0,4
134,0,0,1,,,0
135,0,0,0,,,0
136,0,0,1,,,0
137,0,0,1,2409.905,9639.62,4
138,1,0,0,93.37,93.37,1
139,0,0,1,2212.5,8850.0,4
140,0,0,0,,,0
141,1,0,1,,6342.0,2
142,1,0,0,,,0
143,1,0,0,11494.53,68967.18,6
144,0,0,0,4206.493332999999,12619.48,3
145,0,0,0,,,0
146,0,0,0,,,0
147,1,0,0,1080.69,2361.38,3
148,0,0,0,113.0,113.0,1
149,0,0,1,540.8933333,15128.24,4
150,0,0,0,154.495,308.99,2
151,0,0,0,10208.651670000001,62390.91,6
152,0,0,0,6172.265,37033.59,6
153,0,0,0,23039.665,141230.99,6
154,0,0,1,10159.894,55680.76,6
155,0,0,0,,,0
156,1,0,0,3864.785,17459.14,5
157,1,0,0,172.9433333,518.83,3
158,0,0,0,803.9066667000001,2411.72,3
159,0,0,0,10058.61333,60351.68,6
160,0,0,0,,,0
161,0,0,0,5924.096,29620.48,5
162,1,0,0,,,0
163,0,0,0,5974.166667,35845.0,6
164,1,0,1,361.2,1562.43,6
165,0,0,0,2478.2,2478.2,1
166,1,0,1,2068.75,8275.0,4
167,1,0,0,7794.2,38971.0,5
168,1,0,0,14020.6,70103.0,5
169,0,0,0,15275.743999999999,81105.72,5
170,0,0,0,29100.0,29100.0,1
171,1,0,0,,,0
172,0,0,0,,,0
173,0,0,0,683.6133332999999,2050.84,3
174,0,0,0,4372.333333,13117.0,3
175,0,0,0,3330.0,6660.0,2
176,0,0,0,500.0,500.0,1
177,0,0,0,2214.75,8897.5,4
178,0,0,0,,,0
179,1,0,0,1640.798333,9844.79,6
180,0,0,0,2461.25,9845.0,4
181,0,0,0,9139.658000000001,45698.29,5
182,0,0,0,2076.78,6230.34,3
183,1,0,0,11837.81667,71026.9,6
184,0,0,1,21380.0,48880.0,2
185,0,0,1,9502.98,57017.88,6
186,1,0,0,665.0,1730.0,2
187,1,0,1,1934.3,3868.6,2
188,1,0,0,,50.0,1
189,0,0,0,1312.2,6561.0,5
190,0,0,0,704.51,704.51,1
191,0,0,0,1686.0,1686.0,1
192,1,0,0,792.0,2515.0,2
193,0,0,0,,45.0,1
194,0,0,0,14188.163999999999,70940.82,5
195,0,0,0,1573.865,10535.46,5
196,0,0,0,4022.5766670000003,12067.73,3
197,1,0,1,,1430.2,2
198,0,0,0,3888.7,15554.8,4
199,0,0,0,156.2575,2893.48,4
200,1,0,0,3813.333333,45998.6,6
201,0,0,0,,,0
202,0,0,0,5233.04,26165.2,5
203,0,0,1,,714.17,1
204,0,0,0,3204.76,16023.8,5
205,0,0,0,9971.748333,59830.49,6
206,0,0,0,,200.0,1
207,0,0,0,13347.445,165489.61,6
208,0,1,0,6399.76,20697.28,4
209,0,0,0,4927.966667000001,29567.8,6
210,0,0,0,1330.75,7398.48,6
211,0,0,0,3431.784,17158.92,5
212,0,0,0,,,0
213,1,0,0,1155.4,4621.6,4
214,0,0,0,,,0
215,0,0,0,,,0
216,1,0,1,,,0
217,0,0,1,,,0
218,0,0,0,4983.12,29898.72,6
219,1,0,0,,,0
220,1,0,0,1057.47,6344.82,6
221,0,0,0,820.0,820.0,1
222,0,0,0,4693.858,23667.29,6
223,1,0,0,27500.0,55000.0,2
224,0,0,0,8.0,30042.16,6
225,1,0,0,15090.42,90638.52,6
226,1,0,0,2864.125,11456.5,4
227,1,0,1,1849.07,5547.21,3
228,0,0,0,2615.525,11469.74,4
229,0,0,0,10176.89,11476.89,2
230,0,0,0,13369.12333,41547.37,4
231,0,0,0,363.77,363.77,1
232,0,0,0,,,0
233,0,0,0,1120.0,5808.3,5
234,0,0,0,,,0
235,0,0,0,2174.735,13048.41,6
236,0,0,0,2404.0,14507.0,5
237,1,0,0,5156.9325,20907.73,5
238,0,0,0,,,0
239,0,0,0,8872.5,35490.0,4
240,0,0,1,7802.92,39360.81,6
241,0,0,1,2030.305,4060.61,2
242,0,0,0,,,0
243,0,0,0,0.32,858.32,3
244,0,0,0,,,0
245,0,0,1,1133.333333,4308.0,3
246,0,0,0,,,0
247,0,0,0,14321.41833,87428.51,6
248,1,0,0,3188.462,15942.31,5
249,0,0,1,,,0
250,0,0,0,3096.666667,9290.0,3
251,0,0,0,1488.45,5953.8,4
252,0,0,0,3486.0,20916.0,6
253,0,0,0,,,0
254,0,0,0,3593.3940000000002,17966.97,5
255,0,0,1,5415.5,27077.5,5
256,1,0,0,,,0
257,1,0,1,6984.028333,48338.03,6
258,1,0,1,,,0
259,0,0,0,984.0,5093.1,5
260,1,0,0,,,0
261,0,0,0,,,0
262,0,0,0,,,0
263,0,0,0,6610.375,40262.95,6
264,1,0,1,,,0
265,0,0,0,3719.75,22318.5,6
266,0,0,0,973.75,1947.5,2
267,0,0,0,12866.49333,77198.96,6
268,0,0,0,793.445,1586.89,2
269,0,0,0,2031.5,10157.5,5
270,1,0,0,,,0
271,0,0,0,641.31,1282.62,2
272,1,0,0,13010.0,26330.0,3
273,1,0,0,,200.0,1
274,0,0,0,,503.0,2
275,0,0,1,1051.965,4207.86,4
276,0,0,0,6112.625,36675.75,6
277,0,0,0,1465.0,7325.0,5
278,0,0,0,2671.6875,10763.75,6
279,0,0,0,,,0
280,0,0,0,,,0
281,1,0,0,70424.40333,211273.21,3
282,0,0,0,2130.7,12601.0,4
283,1,0,1,,,0
284,0,0,1,3588.9525,15253.81,4
285,0,0,0,,,0
286,0,0,0,,,0
287,0,0,0,4042.5,16170.0,4
288,1,0,0,2097.61,14225.17,6
289,0,0,0,,695.07,2
290,0,0,0,11071.90667,66431.44,6
291,1,0,1,277.145,1682.58,5
292,0,0,1,5433.681667,34002.66,6
293,0,0,0,,42.64,1
294,0,0,1,2000.0,6218.0,3
295,0,0,0,897.0,897.0,1
296,1,0,0,4842.654,27903.33,6
297,0,0,1,1171.1225,4684.49,4
298,0,0,0,3095.4516670000003,18572.71,6
299,1,0,0,1255.983333,4275.95,3
300,0,0,0,6083.683333,36502.1,6
301,0,0,0,5876.8,29384.0,5
302,1,0,1,,,0
303,0,0,0,1000.03,2000.06,2
304,0,0,0,1740.0,3858.0,3
305,0,0,0,,499.0,2
306,0,0,0,5745.036667,19265.61,4
307,1,0,0,1237.0,1247.0,2
308,1,0,1,,2166.7,3
309,1,0,0,,1742.0,1
310,1,0,0,276.185,1444.37,3
311,1,0,0,,,0
312,0,0,0,1484.2,7421.0,5
313,0,0,0,,10741.63,6
314,0,0,1,4100.77,23361.88,5
315,0,0,1,2696.0,11633.0,5
316,0,0,0,2037.555,8150.22,4
317,0,0,0,2725.046667,16350.28,6
318,0,0,0,2850.0,17100.0,6
319,0,0,0,2000.0,14053.85,3
320,0,0,0,,,0
321,0,0,0,9038.601667,54231.61,6
322,0,0,1,10023.188329999999,65988.67,6
323,0,0,0,,470.0,1
324,0,0,0,13330.686670000001,79984.12,6
325,0,0,1,,,0
326,0,0,0,4009.4,20047.0,5
327,0,0,0,7087.0,28348.0,4
328,0,0,0,900.0,900.0,1
329,1,0,0,2414.0,7242.0,3
330,0,0,0,2284.4966670000003,14092.03,6
331,0,0,0,405.08666669999997,1215.26,3
332,0,0,0,,,0
333,0,0,0,5706.166,28530.83,5
334,0,0,0,1000.0,1000.0,1
335,0,0,0,3146.96,15734.8,5
336,0,0,0,948.3683332999999,13310.9,6
337,0,0,0,596.39,1192.78,2
338,0,0,1,23646.123330000002,142048.24,6
339,1,0,1,7780.0,31620.0,4
340,1,0,0,973.125,1946.25,2
341,0,0,0,,,0
342,0,0,0,14644.421999999999,73542.11,6
343,0,0,0,,,0
344,0,0,0,284.45,1098.9,3
345,0,0,0,,670.83,3
346,1,0,1,,,0
347,1,0,0,3917.048,19898.24,6
348,0,0,0,,,0
349,0,0,0,786.28,1572.56,2
350,0,0,1,,,0
351,0,0,0,,,0
352,0,0,0,,,0
353,0,0,0,462.0,462.0,1
354,0,0,1,17670.8225,70842.29,5
355,0,0,0,7282.333333,23019.0,4
356,0,0,0,1225.593333,3721.88,3
357,1,0,0,1610.625,6442.5,4
358,1,0,1,134.2,212.2,2
359,1,0,0,1669.666667,10018.0,6
360,0,0,0,498.25,682.45,2
361,0,1,0,,,0
362,1,0,0,4033.17,16132.68,4
363,0,0,0,233.9533333,701.86,3
364,1,0,0,3550.0,14200.0,4
365,0,0,0,8028.636667,48171.82,6
366,0,0,0,,,0
367,0,0,0,0.2,5942.5,4
368,0,0,0,4367.996667,26207.98,6
369,0,0,0,5167.964,27918.82,6
370,1,0,0,,,0
371,0,0,0,,36620.57,6
372,0,0,0,2341.8,8864.4,6
373,0,0,0,5286.5,10573.0,2
374,0,0,0,,,0
375,0,0,0,916.0,1832.0,2
376,0,0,0,4776.63,14626.89,4
377,0,0,0,69.5,142.1,3
378,0,0,0,,,0
379,0,0,0,26096.75833,156580.55,6
380,0,0,0,83100.0,166200.0,2
381,0,0,0,7698.166,56566.83,5
382,0,0,0,2820.9625,11723.85,5
383,0,0,0,,,0
384,0,0,0,,45.0,1
385,0,0,0,,,0
386,0,0,0,1483.5025,5934.01,4
387,1,0,1,,,0
388,0,0,0,27293.425,163760.55,6
389,0,0,0,14012.83167,84076.99,6
390,0,0,0,,36.0,1
391,0,0,0,,2520.0,1
392,0,0,0,,,0
393,0,0,1,,,0
394,0,0,0,3762.0,22572.0,6
395,0,0,0,222.675,445.35,2
396,0,0,0,,,0
397,0,0,0,207195.98,1243485.38,6
398,1,0,0,8752.418,43762.09,5
399,1,0,0,,,0
400,1,0,0,1843.8239999999998,9219.12,5
401,0,0,0,831.505,2161.91,4
402,0,1,0,2482.32,12411.6,5
403,0,0,0,1929.89,9649.45,5
404,0,1,0,117.2,979.65,4
405,0,0,1,54592.25,218369.0,4
406,1,0,0,6955.8425,27823.37,4
407,0,0,0,895.0,895.0,1
408,0,0,0,207.0,414.0,2
409,1,0,1,24668.97167,148013.83,6
410,0,0,0,,,0
411,1,0,0,,,0
412,1,0,0,3402.2983329999997,20509.63,6
413,0,0,0,2049.856667,6149.57,3
414,0,0,0,1954.65,5043.1,4
415,0,0,0,1573.15,6292.6,4
416,0,0,0,3671.255,14685.02,4
417,1,0,0,1100.0,4459.0,4
418,0,0,0,,3568.0,1
419,0,0,0,1671.25,3342.5,2
420,0,0,0,58937.595,353625.57,6
421,0,0,0,,,0
422,1,0,0,815.8333332999999,2447.5,3
423,0,0,0,6885.1633329999995,41310.98,6
424,0,0,0,2862.72,2862.72,1
425,0,0,0,9984.896667,59909.38,6
426,0,0,1,,,0
427,0,0,0,473.66,16721.0,6
428,1,0,0,6881.62,27526.48,4
429,1,0,1,2338.532,5191.92,5
430,0,0,1,997.09,997.09,1
431,0,0,0,421.13599999999997,3137.59,6
432,0,0,0,,,0
433,0,0,0,22661.695,47519.51,3
434,0,0,1,928.7,928.7,1
435,0,0,0,5366.435,32683.61,6
436,0,0,1,,,0
437,0,0,0,,105.37,1
438,0,0,0,12659.858,63299.3,5
439,1,0,1,799.74,1599.48,2
440,0,0,1,,852.0,1
441,0,0,0,1231.23,1231.23,1
442,0,0,0,,,0
443,0,0,0,698.0,698.0,1
444,0,0,0,1515.72,3031.44,2
445,0,0,0,,109.16,1
446,0,0,1,,,0
447,0,0,1,,,0
448,0,0,0,1346.62,5510.48,6
449,1,0,1,1330.0066669999999,7980.04,6
450,0,0,0,1500.0,4500.0,3
451,0,0,0,,0.01,1
452,0,0,1,11821.915,71053.49,6
453,0,0,0,1635.333333,4906.0,3
454,0,0,0,,,0
455,0,0,0,5205.8640000000005,26029.32,5
456,0,0,0,5912.495,35474.97,6
457,1,0,1,,,0
458,1,0,0,86095.54167,611573.25,6
459,0,0,0,6381.655,38939.43,6
460,0,0,0,,321.0,2
461,1,0,0,3915.258,19576.29,5
462,0,0,0,433.875,1653.75,4
463,0,0,0,,,0
464,0,0,0,701.9066667000001,2275.96,4
465,1,0,1,1677.6,1677.6,1
466,0,0,0,,20000.0,1
467,0,0,1,,2775.0,2
468,0,0,0,1000.0,1000.0,1
469,0,0,0,125.5,289.0,2
470,1,0,1,,,0
471,0,0,0,,6396.0,4
472,0,0,0,,,0
473,0,0,1,,9384.0,3
474,0,0,0,2353.43,12205.96,4
475,1,0,0,19094.65667,57283.97,3
476,0,0,0,1254.34,13575.0,5
477,0,0,0,6696.82,24790.46,3
478,0,0,1,14682.9275,58731.71,4
479,1,0,0,288.0,438.0,2
480,1,0,0,16039.2925,65837.17,5
481,0,1,0,5035.658332999999,30213.95,6
482,0,0,0,1858.3333329999998,11150.0,6
483,0,0,0,10636.348,53181.74,5
484,1,0,0,1600.0,1600.0,1
485,0,0,0,2238.17,4476.34,2
486,0,0,0,,,0
487,0,0,0,,,0
488,1,0,0,5432.104,27381.02,5
489,0,0,0,38277.84167,229667.05,6
490,0,0,0,731.0,947.6,2
491,1,0,0,5362.895,21451.58,4
492,0,0,0,3839.0,24666.22,6
493,0,0,1,76.52,76.52,1
494,0,0,0,497.0,497.0,1
495,1,0,0,,,0
496,0,0,0,868.6966667000002,3176.09,4
497,0,0,0,,,0
498,0,0,0,,,0
499,0,0,1,612.6,23423.1,4
500,1,0,0,,1696.46,5
501,0,0,0,2619.875,10479.5,4
502,0,0,0,1733.3333329999998,5200.0,3
503,0,0,1,,,0
504,1,0,0,7067.71,21203.13,3
505,1,0,0,75.36,150.72,2
506,0,0,0,,,0
507,1,0,0,18710.69,112264.14,6
508,0,0,0,1751.0,2087.95,1
509,0,0,0,3026.25,6052.5,2
510,0,0,1,6000.2,12000.4,2
511,1,0,0,15979.69,97395.74,6
512,0,0,0,320302.4683,1923792.81,6
513,0,0,0,2452.9,12664.5,6
514,0,0,1,1848.145,16180.89,6
515,0,0,0,,50000.0,1
516,0,0,0,,1000.0,1
517,0,0,0,1536.89,4610.67,3
518,0,0,0,2300.0,2300.0,1
519,0,0,0,4757.0,28542.0,6
520,0,0,0,20177.29,82898.87,6
521,0,0,0,4673.688,24257.44,5
522,0,0,0,60200.124,301300.62,5
523,0,0,0,1673.715,4192.63,5
524,0,0,0,1836.905,4099.3,5
525,0,0,0,1664.396667,4993.19,3
526,0,1,0,1264.94,1264.94,1
527,0,0,0,4409.833333,26459.0,6
528,0,0,0,136.99,1570.39,3
529,1,0,0,675.79,1351.58,2
530,1,0,0,25924.106,129620.53,5
531,0,0,0,9527.041667,58272.25,6
532,1,0,1,47574.811669999996,285448.87,6
533,0,0,0,1100.0,2947.0,2
534,0,0,0,1431.0025,21767.19,6
535,0,0,0,680.0,1681.86,2
536,1,0,0,0.3,0.3,1
537,0,0,0,,5156.0,2
538,0,0,0,1000.0,1245.0,2
539,0,0,1,89858.21832999999,539939.31,6
540,0,0,0,3526.115,7052.23,2
541,0,0,1,,3974.0,3
542,0,0,1,5195.375,32484.28,6
543,0,0,0,24924.56333,149547.38,6
544,0,0,0,737.3333332999999,2212.0,3
545,0,0,0,2841.6,14208.0,5
546,0,0,1,9193.883333,55163.3,6
547,0,0,0,,,0
548,0,0,0,4674.17,18896.68,5
549,0,0,0,573.47,1720.41,3
550,0,1,0,15326.496000000001,76632.48,5
551,1,0,0,2221.333333,6664.0,3
552,0,0,1,7916.5,31666.0,4
553,0,0,0,2789.0,19376.0,6
554,1,0,0,8155.0,32620.0,4
555,1,0,0,100080.8875,405853.55,6
556,1,0,0,3177.6,15888.0,5
557,0,0,1,,,0
558,1,0,1,1943.925,7975.7,5
559,0,0,0,958.6666667000002,3376.0,3
560,0,0,0,24524.09,147144.54,6
561,0,0,0,1000.0,1000.0,1
562,0,0,0,681.8066667,2045.42,3
563,0,0,1,2677.7066670000004,8189.02,5
564,0,0,1,7788.791667,55737.75,6
565,0,0,0,,,0
566,0,0,0,7136.0625,28742.25,5
