ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2011-01-04,186.9,187.9,182.6,185.5,183.92,1.58,0.86,60462.26,1116558.389
600519.SH,2011-01-05,184.9,185.4,180.5,181.08,185.5,-4.42,-2.38,58198.02,1064872.709
600519.SH,2011-01-06,181.21,183.6,178.44,180.24,181.08,-0.84,-0.46,37584.56,677983.969
600519.SH,2011-01-07,180.18,181.69,178.5,179.72,180.24,-0.52,-0.29,30533.8,548732.363
600519.SH,2011-01-10,179.62,180.51,174.14,174.31,179.72,-5.41,-3.01,38784.83,687881.571
600519.SH,2011-01-11,173.68,175.5,171.21,173.56,174.31,-0.75,-0.43,45322.1,787943.021
600519.SH,2011-01-12,174.1,176.0,172.41,174.47,173.56,0.91,0.52,31323.25,546334.1120000001
600519.SH,2011-01-13,175.5,181.0,174.49,179.49,174.47,5.02,2.88,41341.74,740207.6159999999
600519.SH,2011-01-14,178.95,181.21,177.3,180.19,179.49,0.7,0.39,25772.66,461741.10299999994
600519.SH,2011-01-17,179.7,182.2,175.02,175.59,180.19,-4.6,-2.55,37475.16,673586.235
600519.SH,2011-01-18,175.1,182.61,173.99,182.56,175.59,6.97,3.97,40962.35,738283.975
600519.SH,2011-01-19,182.56,183.57,181.11,182.83,182.56,0.27,0.15,26198.67,478032.606
600519.SH,2011-01-20,182.3,183.99,178.25,180.07,182.83,-2.76,-1.51,24523.05,444085.191
600519.SH,2011-01-21,179.8,181.5,175.66,175.89,180.07,-4.18,-2.32,26867.37,479005.92299999995
600519.SH,2011-01-24,175.87,177.48,170.01,171.52,175.89,-4.37,-2.48,34775.49,601578.015
600519.SH,2011-01-25,170.98,172.4,170.0,170.7,171.52,-0.82,-0.48,17238.64,294978.979
600519.SH,2011-01-26,171.01,173.99,171.01,172.14,170.7,1.44,0.84,14325.71,247045.171
600519.SH,2011-01-27,171.96,175.28,169.58,173.06,172.14,0.92,0.53,29444.27,507387.589
600519.SH,2011-01-28,173.01,174.13,172.38,173.34,173.06,0.28,0.16,19591.43,339796.042
