ID,code,investment,capital,stock,income,assets_1,assets_2,expenditure_1,expenditure_2,expenditure_3,tax,debt,loan,grade,Label
0,0,0.193519,0.000149359,0.739311626,0.848971274,0.220820688,0.764883188,0.607633,0.762065366,0.638951374,0.789346173,0.749686064,,C,0
1,2,0.193519,1.49E-05,0.739311626,0.848971274,,,0.607633,0.762065366,0.638934231,0.789303893,,,D,0
2,0,0.193519,0.000596374,0.73764762,0.848429097,0.330786293,0.762546019,0.607633,0.760504566,0.638908895,0.78927107,0.747944388,,C,0
3,16,0.193519281,8.96E-05,0.741358108,0.849333477,0.168370563,0.770465492,0.607633,0.764828442,0.639037089,0.789399992,0.755032407,0.528271006,D,0
4,0,0.214499286,0.000298541,0.73209747,0.847235594,0.231274527,0.762821398,0.608366888,0.763371304,0.638925661,0.789298356,0.751649483,,A,0
5,2,0.193519,1.49E-05,0.73209747,0.847235594,,,0.608366888,0.763371304,0.638911743,0.789305163,,,C,0
6,1,0.193519,0.008661336,0.73209747,0.847235594,,,0.608366888,0.763371304,0.639151404,0.789372139,,,A,0
7,0,0.193519,0.027006385,0.746307357,0.851932386,,0.92756213,0.608366888,0.942546341,0.638925762,0.75675642,0.922335314,,D,0
8,16,0.193519281,0.000238889,0.746307357,0.851932386,,,0.608366888,0.942546341,,,,,A,0
9,0,0.193519,0.000149359,0.746307357,0.851932386,,,0.608366888,0.942546341,0.638924177,0.789297385,,,D,0
10,0,0.193519281,0.001272805,0.746307357,0.851932386,,,0.608366888,0.942546341,0.638860638,0.789256593,,,C,0
11,16,0.193519,0.000197819,0.746307357,0.851932386,,,0.608366888,0.942546341,0.639044111,0.789400003,,,G,0
12,0,0.193519,8.96E-05,0.737381818,0.848457663,0.221417037,0.762271124,0.608366888,0.759999047,0.63895002,0.789360828,0.747478948,,C,0
13,34,0.193519,0.000923177,0.737220754,0.848333831,0.222055287,0.76221268,0.608366888,0.76014197,0.638918142,0.789299813,0.747621636,,C,0
14,34,0.320921145,0.000893503,0.738687857,0.848599375,0.305337079,0.762746231,0.610180297,0.760031385,0.639003168,0.789445456,0.747612572,,A,0
15,0,0.193519,,0.738687857,0.848599375,,,0.610180297,0.760031385,0.638891527,0.789277541,,,C,0
16,0,0.193519,0.027006385,0.737498632,0.8497061,0.236895672,0.765876665,0.610426747,0.763653958,0.639512833,0.789776459,0.751353682,,C,0
17,2,0.193519,1.49E-05,0.737498632,0.8497061,,,0.610426747,0.763653958,0.639071833,0.789392395,,,A,0
18,2,0.193519,1.49E-05,0.749512575,0.848824574,0.227250007,0.770110265,0.609075192,0.760237545,,0.789528327,0.751055658,,C,0
19,2,0.193519,1.49E-05,0.749512575,0.848824574,,,0.609075192,0.760237545,0.638965287,0.789336595,,,B,0
20,2,0.193519,1.49E-05,0.749512575,0.848824574,,,0.609075192,0.760237545,0.638873218,0.789268283,,,B,0
21,34,0.193519281,0.026813372,0.749512575,0.848824574,,,0.609075192,0.760237545,,0.789314615,,,D,0
22,59,0.193519,2.99E-05,0.749512575,0.848824574,,,0.609075192,0.760237545,0.639408162,0.789344929,,,A,0
23,16,0.193519281,0.000298541,0.749512575,0.848824574,,,0.609075192,0.760237545,0.638860835,0.789534539,,,D,0
24,108,0.193519281,0,0.749512575,0.848824574,,,0.609075192,0.760237545,0.638928623,0.789300444,,,C,1
25,6,0.193519,0.000119502,0.829472188,0.852255881,0.796671155,0.845133243,0.609075192,0.829999279,0.639520791,0.850941125,0.815831877,,A,0
26,0,0.193519,0.000298541,0.829472188,0.852255881,,,0.609075192,0.829999279,0.638887379,0.789316348,,,B,0
27,16,0.193519281,0.001780696,0.829472188,0.852255881,,,0.609075192,0.829999279,0.638908676,0.789295932,,,E,0
28,2,0.193519,1.49E-05,0.829472188,0.852255881,,,0.609075192,0.829999279,0.638891309,0.789312752,,,B,0
29,103,0.193519,1.49E-05,0.829472188,0.852255881,,,0.609075192,0.829999279,,,,,A,1
30,16,0.193519281,0.000477326,0.739658275,0.84940665,0.27839343,0.76655361,0.609075192,0.764061385,0.639040271,0.789388681,0.751422981,,A,0
31,0,0.193519,0.027006385,0.739658275,0.84940665,,,0.609075192,0.764061385,,0.789256273,,,B,0
32,2,0.193519,1.49E-05,0.739658275,0.84940665,,,0.609075192,0.764061385,0.639038958,0.789372181,,,B,0
33,38,0.193519281,0,0.737243383,0.848424805,0.228102368,0.762241053,0.607379693,0.760015554,0.638978425,0.789344141,0.747509917,,G,0
34,0,0.193519,,0.737243383,0.848424805,,,0.607379693,0.760015554,0.638968002,0.789333951,,,D,0
35,108,0.193519,,0.748002817,0.84904435,0.439757755,0.769738197,0.607977793,0.76211284,0.639114204,0.789181657,0.752510495,0.532423755,A,0
